id,candidate,song,artist,sentiment,theme,album_release_date,line,url
111,Donald Trump,Johnny Ryall,Beastie Boys,neutral,N/A,1989,Donald Trump and Donald Tramp living in the men's Shelter,http://genius.com/Beastie-boys-johnny-ryall-lyrics
112,Donald Trump,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,positive,money,1995,"Given the power punch, soon to be paid like Donald Trump",http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics
113,Donald Trump,My Word Is Bond,Donald D,positive,N/A,1989,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/Ice-t-my-word-is-bond-lyrics
114,Donald Trump,50/Banks,50 Cent,positive,money,2002,"We can talk Trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics
115,Donald Trump,Skill Trade,Nice,positive,money,1990,I'm not rich like Donald Trump,http://genius.com/Nice-skill-trade-lyrics
116,Donald Trump,Strip Club Luv,69 Boyz,positive,money,1998,Girl if your beauty was a dollar you'd be richer than Trump,http://genius.com/69-boyz-strip-club-luv-lyrics
117,Donald Trump,No Shots,7L & Esoteric,positive,money,2010,It's like Trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics
118,Donald Trump,Skypager,A Tribe Called Quest,positive,money,1991,Beeper's goin off like Don Trump gets checks,http://genius.com/A-tribe-called-quest-skypager-lyrics
119,Donald Trump,Dolly and the Rat Trap,Ultramagnetic MC's,neutral,money,1992,Look at Donald Trump!,http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics
120,Donald Trump,The Coup,The Coup,negative,political,1993,"Break yourself Trump, it's collection day",http://genius.com/The-coup-the-coup-lyrics
121,Donald Trump,Give It Up Fast,Nas,positive,hotel,1996,I need a suite with the flowers complimentary at Trump Towers,http://genius.com/Mobb-deep-give-it-up-fast-lyrics
122,Donald Trump,Trailer,Ace Hood,positive,money,2013,"I'm trying to get richer than Trump, a couple million for lunch",http://genius.com/Ace-hood-trailer-lyrics
123,Donald Trump,The Ebonic Plague,Ras Kass,neutral,N/A,1997,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/Cru-the-ebonic-plague-lyrics
124,Donald Trump,Yeah Yeah Yeah,Akala,positive,money,2006,"It amazes me, these rappers are so dumb / Get they advance and think they Trump",http://genius.com/Akala-yeah-yeah-yeah-lyrics
125,Donald Trump,Boughetto,Ali,positive,money,2002,"Trump money, but it's still the motel and Kyjuan",http://genius.com/Ali-boughetto-lyrics
126,Donald Trump,Mafioso,Kool G. Rap,positive,hotel,1998,Can't stop until I got a Casa up in Trump plaza,http://genius.com/Kool-g-rap-mafioso-lyrics
127,Donald Trump,Soldiers,Master P,neutral,N/A,1998,Follow me dumpin' n----s study humpin' I ain't Donald Trump,http://genius.com/C-murder-soldiers-lyrics
128,Donald Trump,Turn It Into Somethin',Frost,positive,hotel,1999,Real G's posted up at the Trump Towers,http://genius.com/Frost-turn-it-into-somethin-lyrics
129,Donald Trump,Fire,Makeba Mooncycle,neutral,N/A,1999,Playin Donald Trump for the mic with this,http://genius.com/Royal-fam-fire-lyrics
130,Donald Trump,Ba Bump,Black Eyed Peas,positive,money,2006,And if you got money fellas keep it like Trump,http://genius.com/Black-eyed-peas-ba-bump-lyrics
131,Donald Trump,Open Your Mind,Black The Ripper,positive,money,2013,"Who am I kidding, I'm try'na live lavish like Trump",http://genius.com/Black-the-ripper-open-your-mind-lyrics
132,Donald Trump,PlaneWalker,Bobby Raps,positive,money,2015,I do more deals than Donald Trump does,http://genius.com/Bobby-raps-planewalker-wuhuwahnmi2du-lyrics
133,Donald Trump,New World,Nas,neutral,money,1999,The new Don Trump is Bill Gates,http://genius.com/Nas-new-world-lyrics
134,Donald Trump,Speed Law,Yasiin Bey (Mos Def),positive,hotel,1999,Rocked the Trump Tower to the terrordome,http://genius.com/Yasiin-bey-speed-law-lyrics
135,Donald Trump,Molly (remix),Boston George,positive,money,2013,Big money like Donald Trump,http://genius.com/Boston-george-molly-remix-lyrics
136,Donald Trump,Cloud Aura,Brooke Candy,positive,personal,2013,"Ivana and Trump, shit, we coulda' ran the world",http://genius.com/Charli-xcx-cloud-aura-lyrics
137,Donald Trump,Hey Papi,Jay Z,positive,hotel,2000,I went to 1 Trump Plaza on their asses,http://genius.com/Jay-z-hey-papi-lyrics
138,Donald Trump,E.I.,Nelly,positive,hotel,2000,Get a room in Trump Towers just to hit the P hours,http://genius.com/Nelly-ei-lyrics
139,Donald Trump,Dipshits,Cam'ron,positive,hotel,2014,"Lookin' for me? Top floor suite of the Trump, baby",http://genius.com/Camron-dipshits-lyrics
140,Donald Trump,Soundscience,Souls of Mischief,neutral,personal,2000,They high drama like Trump and Ivana,http://genius.com/Souls-of-mischief-soundscience-lyrics
141,Donald Trump,Everywhere I Go,Tha Eastsidaz,positive,hotel,2001,I got a room at the Trump / Later on we can slump,http://genius.com/Tha-eastsidaz-everywhere-i-go-lyrics
142,Donald Trump,Ghetto Manifesto,The Coup,neutral,N/A,2001,Met Donald Trump and he froze up,http://genius.com/The-coup-ghetto-manifesto-lyrics
143,Donald Trump,Shorty,Chingy,positive,money,2003,"I'm the young Donald Trump, is y'all hearin me?",http://genius.com/Busta-rhymes-shorty-lyrics
144,Donald Trump,Crazy,50 Cent,positive,hotel,2002,Now I'm paid - catch me in the Trump Tower lobby,http://genius.com/50-cent-crazy-lyrics
145,Donald Trump,Wet! Wet! Wet!,Princess Superstar,neutral,hotel,2002,"Wet in the elevator, Trump Tower or my lunch hour",http://genius.com/Princess-superstar-wet-wet-wet-lyrics
146,Donald Trump,Get Paid,Styles P,positive,hotel,2002,"Tryin' to see my shit in the Forbes, Trump Tower for 'self",http://genius.com/Styles-p-get-paid-lyrics
147,Donald Trump,Hustle Harder,Common,positive,hotel,2014,She know what n----s want she know how to make 'em hunt / Hotel suite at the Trump,http://genius.com/Common-hustle-harder-lyrics
148,Donald Trump,John They're Stealing,Thirstin Howl III,neutral,money,2002,"Sold to Donald Trump, for personal checks",http://genius.com/Thirstin-howl-iii-john-theyre-stealing-lyrics
149,Donald Trump,Motion,Curren$y,positive,hotel,2012,Car service brung me to the Trump Tower,http://genius.com/Curren-y-motion-lyrics
150,Donald Trump,Kick Back Music,CyHi The Prynce,neutral,hotel,2013,That might get you staying a couple nights up at the Trump,http://genius.com/Cyhi-the-prynce-kick-back-music-lyrics
151,Donald Trump,SkyScraper V,D.R.C,positive,money,2013,I'm trying to make it large trying to Donald Trump it,http://genius.com/Drc-skyscraper-v-lyrics
152,Donald Trump,Take It Off Part 2,Busta Rhymes,positive,hotel,2002,Kennedy loft hoes mackin at the top of the Trump Towers,http://genius.com/Busta-rhymes-take-it-off-part-2-lyrics
153,Donald Trump,Jussummen,Das EFX,positive,money,1992,I went and break a slut like Donald Trump can break a million,http://genius.com/Das-efx-jussummen-lyrics
154,Donald Trump,What More Can I Say,Jay Z,positive,hotel,2003,I'm at the Trump International: ask for me I ain't never scared,http://genius.com/Jay-z-what-more-can-i-say-lyrics
155,Donald Trump,Nothing More,DeDa,positive,money,2003,"Cause boom, you can be Donald Trump and shit",http://genius.com/Pete-rock-nothing-more-lyrics
156,Donald Trump,Tightanic,Demark,positive,money,2014,We'�ll run the market like we be Donald Trump,http://genius.com/Double-p-tightanic-lyrics
157,Donald Trump,Feel the Beat,LL Cool J,positive,hotel,2004,Spend a night in Trump Towers with a blue eyed blonde,http://genius.com/Ll-cool-j-feel-the-beat-lyrics
158,Donald Trump,Shyne,Shyne,positive,hotel,2004,"And dick for you bitches, up in the Trump Tower",http://genius.com/Shyne-shyne-lyrics
159,Donald Trump,Right to Bare Arms,Killah Priest,negative,N/A,2005,This one's for the cops and the war lord Trump,http://genius.com/Maccabeez-right-to-bare-arms-lyrics
160,Donald Trump,We Gon' Make It,Diddy,positive,money,2006,"That Bill Gates, Donald Trump, Bloomberg money",http://genius.com/Puff-daddy-we-gon-make-it-lyrics
161,Donald Trump,Good Morning,Cage,neutral,N/A,2005,Donald Trump shotgun pumps illegal store fronts,http://genius.com/Cage-good-morning-lyrics
162,Donald Trump,Dumb,The High & Mighty,negative,personal,2005,"I'm Donald Trump, with raccoon hair-dos",http://genius.com/The-high-and-mighty-dumb-lyrics
163,Donald Trump,I Wish You Would,Chino XL,neutral,The Apprentice,2005,Music's my apprentice Donald Trump couldn't fire me,http://genius.com/Sway-i-wish-you-would-lyrics
164,Donald Trump,Money Talks,Double X Posse,positive,money,1995,A bank account so fat that Donald Trump would wanna be me,http://genius.com/Double-x-double-xx-posse-money-talks-lyrics
165,Donald Trump,I'm Ballin' Man,Drama,positive,money,2000,More realer than Rockafeller more cheese than Donald Trump,http://genius.com/Dr-ama-im-ballin-lyrics
166,Donald Trump,Shut Up Bitch,Lil Kim,positive,hotel,2005,"I'm in the Trump International, 30 floors up (so high)",http://genius.com/Lil-kim-shut-up-bitch-lyrics
167,Donald Trump,Trump Change,E-40,positive,money,1998,"Trump change, I'm talkin Donald Trump change",http://genius.com/E-40-trump-change-lyrics
168,Donald Trump,Heavy Metal Kings,Jedi Mind Tricks,neutral,The Apprentice,2006,"I'm like Trump in the Apprentice, only fire at night",http://genius.com/Jedi-mind-tricks-heavy-metal-kings-lyrics
169,Donald Trump,The N,Nas,neutral,personal,2006,The Apprentice but not Trump,http://genius.com/Nas-the-n-lyrics
170,Donald Trump,Buy U Some 2,Erick Sermon,positive,money,2006,"No need to talk about the reeiches, I mean Trump punk",http://genius.com/Too-short-buy-u-some-2-lyrics
171,Donald Trump,Favorite Drug,Styles P,positive,hotel,2006,"Got a blunt blaze it up, we can get a room in the Trump",http://genius.com/Styles-p-favorite-drug-lyrics
172,Donald Trump,Mo Cars Mo Hoes,Fabolous,positive,money,2008,"They know I'm hood rich, Donald Trump of the pumpers",http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics
173,Donald Trump,So What,Far East Movement,positive,money,2010,Hundred dollar bills stacked higher than the Trump,http://genius.com/Far-east-movement-so-what-lyrics
174,Donald Trump,LIE-Z,Fat Boys,positive,money,1989,"Boy, I got money like Donald Trump!",http://genius.com/Fat-boys-lie-z-lyrics
175,Donald Trump,Jealousy,Fat Joe,positive,money,2006,We fuckin with Donald Trump now,http://genius.com/Fat-joe-jealousy-lyrics
176,Donald Trump,Kick it Like That,Styles P,positive,hotel,2006,"I'm at the double-oh suites of Trump, for at least a month",http://genius.com/Styles-p-kick-it-like-that-lyrics
177,Donald Trump,Playas Only,The Game,neutral,hotel,2006,Bet she ain't never seen the penthouse at The Trump,http://genius.com/The-game-playas-only-lyrics
178,Donald Trump,The Morning News,Chamillionaire,neutral,N/A,2007,Rosie O'Donnell and Donald Trump stay arguin' about nonsense,http://genius.com/Chamillionaire-the-morning-news-lyrics
179,Donald Trump,Blow Ya Mind Remix,Jadakiss,positive,hotel,2007,"Pump haze, blow sour, top floor of the Trump Towers",http://genius.com/Styles-p-blow-ya-mind-remix-lyrics
180,Donald Trump,Invisible Man,Joe Budden,positive,hotel,2007,"One's national, Trump International, rational",http://genius.com/Joe-budden-invisible-man-lyrics
181,Donald Trump,My Drink n My 2 Step (Remix),Kanye West,neutral,The Apprentice,2007,"We fired motherfuckers, Donald Trump n----",http://genius.com/Cassidy-my-drink-n-my-2-step-remix-lyrics
182,Donald Trump,Midgets and Giants,Sage Francis,neutral,The Apprentice,2007,"Fuck an apprentice, I've got more firepower than Donald Trump",http://genius.com/Sage-francis-midgets-and-giants-lyrics
183,Donald Trump,We Made Our Own,Future,positive,money,2013,"I'm John Gotti paid, now I'm going Donald Trump",http://genius.com/Future-we-made-our-own-lyrics
184,Donald Trump,Suicide,Fabolous,positive,hotel,2008,"It's Loso, a.k.a the 1 Trump Plaza suite creeper",http://genius.com/Fabolous-suicide-lyrics
185,Donald Trump,Mo Cars Mo Hoes,Freck Billionaire,positive,hotel,2008,"Trump Tower, you ain't got the same room as me",http://genius.com/Fabolous-mo-cars-mo-hoes-lyrics
186,Donald Trump,Love Don't Cost a Thing (Neptunes Remix),Ghostface Killah,positive,money,2012,"Big lobster dishes wit Trump, this how come I feel for you",http://genius.com/Jennifer-lopez-love-dont-cost-a-thing-neptunes-remix-lyrics
187,Donald Trump,Truth,God,positive,money,2014,"Tryna add a couple more zeroes, Donald Trump is my hero",http://genius.com/God-truth-lyrics
188,Donald Trump,Song for the Ville,J.Cole,neutral,money,2010,"Bill Gates, Donald Trump, motherfucker let me in",http://genius.com/J-cole-song-for-the-ville-lyrics
189,Donald Trump,Don't Trip,Petey Pablo,neutral,N/A,2009,I done been with Donald Trump and you help bitches,http://genius.com/Petey-pablo-dont-trip-lyrics
190,Donald Trump,Loose,Spank Rock,positive,hotel,2008,"Ain't that what you want, a Hilton ain't a Trump",http://genius.com/Spank-rock-loose-lyrics
191,Donald Trump,How We Rock,Termanology,neutral,money,2008,I copped enough coke and guns to open Trump,http://genius.com/Termanology-how-we-rock-lyrics
192,Donald Trump,Pimp Slap,Tyler the Creator,neutral,personal,2008,With my Donald Trump hair piece you're an apprentice,http://genius.com/Left-brain-pimp-slap-lyrics
193,Donald Trump,I Gotta Say What Up!!!,Ice Cube,positive,money,1990,Cause he makin' more than Donald Trump,http://genius.com/Ice-cube-i-gotta-say-what-up-lyrics
194,Donald Trump,Three Strikes You In,Ice Cube,positive,money,1998,I'm just tryin' to get rich like Trump,http://genius.com/Ice-cube-three-strikes-you-in-lyrics
195,Donald Trump,Folklore,Dumbtron,negative,political,2009,Alarming heat at the heels of a punk politician / Trump tall tales with a bump full of bomb fission,http://genius.com/Mr-lif-folklore-lyrics
196,Donald Trump,Put Ya in Da Game,Fat Joe,positive,hotel,2009,"I took her out of the 'jects, the top floor of the Trump",http://genius.com/Fat-joe-put-ya-in-da-game-lyrics
197,Donald Trump,Daze,Ja-Bar,positive,money,2010,"The Donald Trump money, a pow way is stuntin' and problems keep on comin'",http://genius.com/Ja-bar-daze-lyrics
198,Donald Trump,I'm Ballin,Rick Ross,neutral,money,2009,Proceeds 'till we perceive the stunt like Donald Trump,http://genius.com/J-money-im-ballin-lyrics
199,Donald Trump,So Appalled,Kanye West,neutral,money,2010,"Balding, Donald Trump taking dollars from y'all",http://genius.com/Kanye-west-so-appalled-lyrics
200,Donald Trump,Independent,KXNG Crooked,positive,hotel,2010,"We fuck a couple hoes, am I sweet at the Trump?",http://genius.com/Crooked-i-independent-lyrics
201,Donald Trump,Blue Flame Remix,Lil B,neutral,The Apprentice,2010,"Call me Donald Trump how I fire losers / How Donald Trump fire workers, I fire rugers",http://genius.com/Lil-b-blue-flame-remix-lyrics
202,Donald Trump,Success,Jay Z,positive,hotel,2007,I got watches I ain't seen in months / Apartment at the Trump; I only slept in once,http://genius.com/Jay-z-success-lyrics
203,Donald Trump,Zoom Zooms and Wam Wam,Jay-O-Felony,positive,personal,1995,"I wanna be like Donald Trump, not Willie Lump-Lump",http://genius.com/Jay-o-felony-zoom-zooms-and-wam-wam-lyrics
204,Donald Trump,Street 2 Street,Jay-O-Felony,positive,money,1997,Smokin the hump with dreams of livin lavish like Donald Trump,http://genius.com/Jay-o-felony-street-2-street-lyrics
205,Donald Trump,Still Get It in Ohio,Machine Gun Kelly,neutral,N/A,2010,And they call me Donald Trump Mr. O-H-I-O took your misses / And now you just Mr. I-hate-my-ho (lame),http://genius.com/Machine-gun-kelly-still-get-it-in-ohio-lyrics
206,Donald Trump,Thug Motivation 101,Jeezy,positive,N/A,2005,I'm Donald Trump in a white tee and white 1's (chea),http://genius.com/Jeezy-thug-motivation-101-lyrics
207,Donald Trump,Trump,Jeezy,positive,money,2011,Richest n---- in my hood; call me Donald Trump,http://genius.com/Jeezy-trump-lyrics
208,Donald Trump,Vagina,"Royce Da 5'9""",positive,hotel,2010,I'm in the Trump Tower shower washin' ink off me,http://genius.com/Royce-da-59-vagina-lyrics
209,Donald Trump,If You Love Me,Sheek Louch,positive,hotel,2010,"Burgundy gauze, Trump building one of these floors",http://genius.com/Dj-absolut-if-you-love-me-lyrics
210,Donald Trump,Salute,The Diplomats,neutral,hotel,2010,"She was wearin pumps, headed to the Trump",http://genius.com/The-diplomats-salute-lyrics
211,Donald Trump,I Don't Play With Guns,Alley Boy,neutral,N/A,2011,"Add up our word: all the nonbelievers in white chalk / Trump n----, talk shit",http://genius.com/Juicy-j-i-dont-play-with-guns-lyrics
212,Donald Trump,Shootin,Juicy J,neutral,The Apprentice,2013,And fire them shots just like I'm Donald Trump,http://genius.com/Juicy-j-shootin-lyrics
213,Donald Trump,Tell Me What You're Lookin' For,Kane & Abel,positive,money,1998,"Kane and Abel in this bitch, gettin' rich as Trump",http://genius.com/Kane-tell-me-what-youre-lookin-for-lyrics
214,Donald Trump,Tim Westwood Freestyle,Kanye West,positive,money,2004,"Uh, more like Donald Trump, with the way I get it crunk",http://genius.com/Kanye-west-tim-westwood-freestyle-lyrics
215,Donald Trump,Webster's Laboratory,Chris Webby,neutral,The Apprentice,2011,So authentic Donald Trump is my apprentice,http://genius.com/Chris-webby-websters-laboratory-lyrics
216,Donald Trump,P.A.,Mac Miller,negative,personal,2011,Donald Trump with better hair,http://genius.com/Freeway-pa-lyrics
217,Donald Trump,Is It Love,Kendrick Lamar,positive,money,2009,"Give me fame and fortune, me and Trump on golf courses",http://genius.com/Kendrick-lamar-is-it-love-lyrics
218,Donald Trump,Another One,Rock,neutral,N/A,2011,"I own them, fuck a Donald Trump, I'm 'Donald Dump' I got realty",http://genius.com/Random-axe-another-one-lyrics
219,Donald Trump,Reputations on the Line,Kevin Gates,positive,money,2011,"Money right, my feelings ice, I'm Donald Trump when it's precise",http://genius.com/Kevin-gates-reputations-on-the-line-lyrics
220,Donald Trump,Best Days of Lives,Donnis,neutral,N/A,2011,"I'm a Mac bitch, I stay on my Donald Trump shit",http://genius.com/Xv-best-days-of-lives-lyrics
221,Donald Trump,Paid,Kid Rock,positive,money,1996,I'll still be in the house getting paid like Trump,http://genius.com/Kid-rock-paid-lyrics
222,Donald Trump,Lights,Frank Ocean,neutral,money,2011,Donald Trump said buy an apartment wit her,http://genius.com/Frank-ocean-lights-lyrics
223,Donald Trump,Tower Heist,Nas,positive,hotel,2011,"This a tower heist, even Donald Trump can get it",http://genius.com/Nas-tower-heist-lyrics
224,Donald Trump,Once Upon a Time,King Sun,positive,money,1994,Today I'm livin large as if my last name was Trump,http://genius.com/King-sun-once-upon-a-time-lyrics
225,Donald Trump,On the Real,Nas,positive,hotel,2011,"Up in the Trump Plaza, Suite 3010",http://genius.com/Nas-on-the-real-lyrics
226,Donald Trump,Thug Chronicles,Kool G. Rap,positive,money,2002,Collect Trump papers with pumps and gauges,http://genius.com/Kool-g-rap-thug-chronicles-lyrics
227,Donald Trump,K.O.T.T.O.N.M.O.U.T.H.,Kottonmouth Kings,neutral,The Apprentice,2008,I'm like the Donald Trump of drinking and homie your fired,http://genius.com/Kottonmouth-kings-kottonmouth-lyrics
228,Donald Trump,Your World & My World,Raekwon,positive,hotel,2011,"Wild fight, customized dice, get nice in the Trump Tower",http://genius.com/Raekwon-your-world-and-my-world-lyrics
229,Donald Trump,You Know What,Tinie Tempah,neutral,The Apprentice,2011,"Donald Trump profit, take an apprenticeship",http://genius.com/Tinie-tempah-you-know-what-lyrics
230,Donald Trump,Elimination Chamber,Action Bronson,positive,hotel,2012,"Backflip in a jacuzzi, forty floors inside the Trump",http://genius.com/Domo-genesis-and-alchemist-elimination-chamber-lyrics
231,Donald Trump,Help Me,Deuce,neutral,money,2012,Motherfucker I ain't got no love for some fake ass wannabe Donald Trump!,http://genius.com/Deuce-help-me-lyrics
232,Donald Trump,Flex 36,Lil B,positive,N/A,2013,"Stephen Curry Basedgod, Donald Trump Basedgod",http://genius.com/Lil-b-flex-36-lyrics
233,Donald Trump,Jet Life (Remix),Jeezy,positive,hotel,2012,Trump Towers I'm sky high,http://genius.com/Curren-y-jet-life-remix-lyrics
234,Donald Trump,What's Up Wit Dat,Lil Wayne,positive,money,2000,Next time you see me I'll have money like Donald Trump,http://genius.com/Juvenile-whats-up-wit-dat-lyrics
235,Donald Trump,Get Down,Lil Wayne,positive,money,2004,I gotta hold up my estate like Donald Trump,http://genius.com/Lil-wayne-get-down-lyrics
236,Donald Trump,Ice Cream,Lil Wayne,positive,money,2009,"I was in the trenches, now I'm in the Trump",http://genius.com/Lil-wayne-ice-cream-lyrics
237,Donald Trump,Racks,Lil Wayne,positive,money,2011,Get money like Donald Trump,http://genius.com/Lil-wayne-racks-on-racks-lyrics
238,Donald Trump,Ball,Lil Wayne,neutral,The Apprentice,2012,I'ma fire my blunt like Donald Trump,http://genius.com/Ti-ball-lyrics
239,Donald Trump,Lil Snupe Meek Mill Freestyle Part 2,Lil' Snupe,positive,money,2013,And show her how I get it like I'm Donald Trump,http://genius.com/Lil-snupe-lil-snupe-meek-mill-freestyle-part-2-lyrics
240,Donald Trump,Comin' for Ya Head,Raekwon,positive,hotel,2012,"We chilling in the Trump Towers, onions and soul",http://genius.com/Wu-block-comin-for-ya-head-lyrics
241,Donald Trump,Blame the Label (Ghida Fakhry),The Narcicyst,neutral,personal,2012,We're brushing up over here (hair) like Donald Trump,http://genius.com/The-narcicyst-blame-the-label-ghida-fakhry-lyrics
242,Donald Trump,Perfume,Aasim,positive,hotel,2013,"Four Seasons or the Trump, come have a sleep over",http://genius.com/Aasim-perfume-lyrics
243,Donald Trump,Hip Hop Quotables,Ludacris,positive,money,2003,"I buy cars with straight cash, have meetings with Donald Trump",http://genius.com/Ludacris-hip-hop-quotables-lyrics
244,Donald Trump,Raiders Cap,Demigodz,negative,personal,2013,Blow your wig to the side like hair on Donald Trump,http://genius.com/Demigodz-raiders-cap-lyrics
245,Donald Trump,Donald Trump,Mac Miller,positive,money,2011,"Take over the world when I'm on my Donald Trump shit / Look at all this money, ain't that some shit",http://genius.com/Mac-miller-donald-trump-lyrics
