id,candidate,song,artist,sentiment,theme,album_release_date,line,url
246,Donald Trump,Thoughts From a Balcony,Mac Miller,positive,money,2012,"My khaki's filled with cheese, my homie Sap is on the beat like it was ""Donald Trump,"" a fucking hit but I just call it luck",http://genius.com/Mac-miller-thoughts-from-a-balcony-lyrics
247,Donald Trump,Dis Ain't What You Want (Remix),French Montana,negative,N/A,2013,"You can hate, don't frown, my n---- / With Donald Trump in the trunk, my n----",http://genius.com/Lil-durk-dis-aint-what-you-want-remix-lyrics
248,Donald Trump,Don't Drop That,Futuristic,neutral,The Apprentice,2013,Not even Donald Trump would fire Zach,http://genius.com/Futuristic-dont-drop-that-lyrics
249,Donald Trump,211,Master P,positive,money,1994,Put more cash in my pockets than Donald Trump,http://genius.com/Master-p-211-lyrics
250,Donald Trump,Morphine,Gorilla Warfare Tactics,positive,hotel,2013,Like I�m Trump and yelling out on the tower top of the Taj,http://genius.com/Gorilla-warfare-tactics-morphine-lyrics
251,Donald Trump,Off the Corner,Meek Mill,positive,money,2014,Going Donald Trump numbers on the corner,http://genius.com/Meek-mill-off-the-corner-lyrics
252,Donald Trump,Since Day 1,Migos,positive,money,2013,"I got the white man money, call me Donald Trump",http://genius.com/Migos-since-day-1-lyrics
253,Donald Trump,Giv No Fuks,Migos,positive,N/A,2014,"Wake up in the morning, up like Donald Trump",http://genius.com/Jeremih-giv-no-fuks-lyrics
254,Donald Trump,"Dag, Philly Too",Homeboy Sandman,neutral,N/A,2013,"Before a Trump, the billionaire punks was the pattern",http://genius.com/Homeboy-sandman-dag-philly-too-lyrics
255,Donald Trump,Neighborhood Scientists,Migos,positive,money,2015,Living life like Donald Trump,http://genius.com/Migos-neighborhood-scientists-lyrics
256,Donald Trump,Bars,Migos,positive,money,2016,Billionaire looking my way I�۪m on pace / Feeling like Donald Trump back in the day,http://genius.com/Migos-bars-lyrics
257,Donald Trump,Minority Report,KXNG Crooked,positive,hotel,2013,"I�m in the Trump and the National out in Sunny Isles, Miami",http://genius.com/Crooked-i-minority-report-lyrics
258,Donald Trump,Red Dot Music,Loaded Lux,neutral,money,2013,I'm gon' rob this chump / On a party on Fifth Ave like he Donald Trump,http://genius.com/Mac-miller-red-dot-music-lyrics
259,Donald Trump,Break My Wrist,PeeWee Longway,neutral,The Apprentice,2013,"I'm Donald Trump, you think I won't fire my bitch",http://genius.com/Peewee-longway-break-my-wrist-lyrics
260,Donald Trump,Money Is My Bitch,Nas,positive,personal,1999,The best couple they seen since Trump and Marla Maple,http://genius.com/Nas-money-is-my-bitch-lyrics
261,Donald Trump,Karate Chop (Freestyle),Shaquille O'Neal,neutral,money,2013,"You ain't got enough, better get a loan from Mr. Bill Gates / And Donald Trump, and Carlos Slim",http://genius.com/Shaquille-oneal-karate-chop-freestyle-lyrics
262,Donald Trump,The People's Douche,Spose,neutral,money,2013,Donald Trump just asked me for spare change,http://genius.com/Spose-the-peoples-douche-lyrics
263,Donald Trump,Make the World Go Round,Nas,positive,hotel,2008,Get the whole Trump Tower top floor for the hood,http://genius.com/Nas-make-the-world-go-round-lyrics
264,Donald Trump,I Shoulda Tried Harder,Wax,neutral,N/A,2013,But Donald Trump I ain't talking to you,http://genius.com/Wax-i-shoulda-tried-harder-lyrics
265,Donald Trump,Break My Wrist,Young Thug,neutral,The Apprentice,2013,I'm Donald Trump I just fire my bitch,http://genius.com/Peewee-longway-break-my-wrist-lyrics
266,Donald Trump,Loco-Motive,Nas,positive,money,2012,"Like Trump being up down up, play with cash",http://genius.com/Nas-loco-motive-lyrics
267,Donald Trump,Loaded,Young Thug,neutral,N/A,2013,(Uh!) Plottin' on Donald Trump (woo! woo!),http://genius.com/Young-thug-loaded-lyrics
268,Donald Trump,Country Grammar (Hot Shit),Nelly,positive,money,2000,"Bill Gates, Donald Trump, let me in now",http://genius.com/Nelly-country-grammar-hot-shit-lyrics
269,Donald Trump,Its Sad Boy,Yung Gleesh,neutral,hotel,2013,Pushed a button to the Trump Towers,http://genius.com/Yung-gleesh-its-sad-boy-lyrics
270,Donald Trump,I Wanna Be With You,Nicki Minaj,positive,hotel,2013,"At the Trump, and you bitches at the Radisson",http://genius.com/Dj-khaled-i-wanna-be-with-you-lyrics
271,Donald Trump,Party Ain't A Party,2 Chainz,positive,hotel,2014,Exit the club to the Trump,http://genius.com/Jamie-foxx-party-aint-a-party-lyrics
272,Donald Trump,Last Year,Borgore,neutral,power,2014,"Fuck the Trump, I want my own tower",http://genius.com/Borgore-last-year-lyrics
273,Donald Trump,InHeiritance,King Mez,negative,N/A,2014,Trump for the china white and they mental like dynamite,http://genius.com/King-mez-inheiritance-lyrics
274,Donald Trump,What We Doing,Fat Trel,positive,hotel,2014,Where we at? (Trump Tower),http://genius.com/Fat-trel-what-we-doing-lyrics
275,Donald Trump,Sirens,Hoodie Allen,positive,hotel,2014,Last night at the Trump Tower taking drunk showers,http://genius.com/Hoodie-allen-sirens-lyrics
276,Donald Trump,Tru Master,Pete Rock,positive,money,1998,In hot pursuit of Donald Trump rap loot,http://genius.com/Pete-rock-tru-master-lyrics
277,Donald Trump,Hollow Da Don vs. Joe Budden,Joe Budden,neutral,The Apprentice,2014,"Senseless, Apprentice I thought Da Don knew Trump (Donald Trump)",http://genius.com/Total-slaughter-hollow-da-don-vs-joe-budden-lyrics
278,Donald Trump,Get It (DT),Pharrell,positive,money,2011,I'm talking Donald Trump level,http://genius.com/Big-sean-get-it-dt-lyrics
279,Donald Trump,Bizarre,Mouf,neutral,The Apprentice,2014,"Here trump shit, Donald Trump shit",http://genius.com/Jaygo-bizarre-lyrics
280,Donald Trump,The Dangerous Three,R.A. The Rugged Man,positive,power,2013,"I'm the Don: Corleone, Cornelius, Trump, King",http://genius.com/Ra-the-rugged-man-the-dangerous-three-lyrics
281,Donald Trump,Up Like Trump,Rae Sremmurd,positive,personal,2015,Up like Donald Trump,http://genius.com/Rae-sremmurd-up-like-trump-lyrics
282,Donald Trump,Incarcerated Scarfaces,Raekwon,positive,money,1995,"Rae's a heavy generator, but yo, guess who's the black Trump? / You rolling like Trump, you get your meat lumped",http://genius.com/Raekwon-incarcerated-scarfaces-lyrics
283,Donald Trump,Flawless Remix,Nicki Minaj,positive,hotel,2014,"I told him meet me at the Trump, Ivanka",http://genius.com/Beyonce-flawless-remix-lyrics
284,Donald Trump,Dart School,Raekwon,neutral,N/A,2011,"We was cooling in the Trump section, throwing bubbly",http://genius.com/Raekwon-dart-school-lyrics
285,Donald Trump,New York Minute (Remix),Nicki Minaj,positive,hotel,2010,I remember how it felt when the twin towers fell I was in the Trump Towers looking for some shower gel,http://genius.com/French-montana-new-york-minute-remix-lyrics
286,Donald Trump,Google That,Raekwon,positive,money,2012,"Black Trump, n----, with fat pockets",http://genius.com/Nore-google-that-lyrics
287,Donald Trump,Hazelton Trump,OB O'Brien,positive,hotel,2014,"Uh, I know this girl, I call her Hazelton Trump",http://genius.com/Ob-obrien-hazelton-trump-lyrics
288,Donald Trump,Da Funk,Redman,positive,personal,1992,I'm well known like Donald Trump,http://genius.com/Redman-da-funk-lyrics
289,Donald Trump,Sacrifices,Rich Homie Quan,positive,money,2013,"Ask Donald Trump, I want his figures",http://genius.com/Rich-homie-quan-sacrifices-lyrics
290,Donald Trump,10 2 10 (Remix),Rick Ross,positive,hotel,2014,"I got a place at the Trump, just to pray for advice",http://genius.com/Big-sean-10-2-10-remix-lyrics
291,Donald Trump,This Is the Life,Rick Ross,positive,hotel,2008,"I'm in Trump Towers, amongst earners",http://genius.com/Rick-ross-this-is-the-life-lyrics
292,Donald Trump,I Mean It (Remix),Rick Ross,neutral,money,2014,I'm at the poker table like I'm Donald Trump,http://genius.com/G-eazy-i-mean-it-remix-lyrics
293,Donald Trump,Pirates,Rick Ross,positive,money,2012,"Resurrection of the real, time to get the richer than Trump",http://genius.com/Rick-ross-pirates-lyrics
294,Donald Trump,Sixteen,Rick Ross,positive,hotel,2012,Trump Tower and I started with a 10 speed,http://genius.com/Rick-ross-sixteen-lyrics
295,Donald Trump,Think Like a Man,Rick Ross,positive,hotel,2012,"Penthouse, at the Trump, sit on Collins Ave",http://genius.com/Jennifer-hudson-think-like-a-man-lyrics
296,Donald Trump,Maybe You Love Me,RiFF RAFF,positive,hotel,2014,Trump towers with Donald (Donald) I can't drive a Honda (uh uh),http://genius.com/Riff-raff-maybe-you-love-me-lyrics
297,Donald Trump,Keith Sweat (Jodeci Freestyle),Young Tero,neutral,The Apprentice,2014,"Cause I got goons that keep the fire, no Donald Trump",http://genius.com/Young-tero-keith-sweat-jodeci-freestyle-lyrics
298,Donald Trump,PNT,Apollo Brown & Ras Kass,neutral,political,2015,"He Kenyan, Trump wanted his certificate of birth",http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics
299,Donald Trump,She Wanna Fuck,Rick Ross,positive,money,2015,"Bel Air bottles like a boss, penthouse at the Trump",http://genius.com/Rick-ross-she-wanna-fuck-lyrics
300,Donald Trump,Dope Spot,Cam'ron,neutral,political,2015,"Arrogant rich n----, we might vote for Trump",http://genius.com/Camron-berner-dope-spot-lyrics
301,Donald Trump,Florida State,RiFF RAFF,positive,money,2015,"I could switch lanes, Donald Trump private planes",http://genius.com/Riff-raff-florida-state-lyrics
302,Donald Trump,Have a Nice Day,Ab-Stract,negative,political,2015,Don't look like change will happen soon / Donald Trump is all that they talk about,http://genius.com/Ab-stract-have-a-nice-day-lyrics
303,Donald Trump,Flavas Back,Chino Tovar,negative,political,2015,Stop deportation we just chasing dreams / Donald Trump - King of Slavery,http://genius.com/The-sindicate-flavas-back-lyrics
304,Donald Trump,Making Some Moves,DAJ,negative,N/A,2015,"Young n----s get it, fuck Donald Trump",http://genius.com/Daj-making-some-moves-lyrics
305,Donald Trump,10 Times,Freddie Gibbs,positive,hotel,2015,"Smokin at the Trump Tower, bout to call a ho",http://genius.com/Freddie-gibbs-10-times-lyrics
306,Donald Trump,Sway in The Morning Freestyle,Eminem,negative,political,2015,I'm fucked worse than Donald Trump on Lexapro in Mexico across from a Texaco in McDonald's drunk,http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics
307,Donald Trump,Straight Drop,Gucci Mane,neutral,N/A,2015,"Hugo Boss, [?], I just Donald Trump you",http://genius.com/Gucci-mane-straight-drop-lyrics
308,Donald Trump,So Tight,Hugh Lee,neutral,sexual,2015,She getting down and she stick it out for that money shot / Trump cake,http://genius.com/Hugh-lee-so-tight-lyrics
309,Donald Trump,Spraying My Pen,Saukrates,positive,money,2013,"Ain't no apprentice, I'm Donald Trump / Get money, get money, I don't succumb",http://genius.com/K-os-spraying-my-pen-lyrics
310,Donald Trump,Money and the Power,Scarface,positive,money,1991,"n---- rollin hard, stackin paper like Trump",http://genius.com/Scarface-money-and-the-power-lyrics
311,Donald Trump,Way It Go,SD,positive,political,2015,Presidential shit; the hood Donald Trump,http://genius.com/Sd-way-it-go-lyrics
312,Donald Trump,Black Friday,Kendrick Lamar,negative,political,2015,"Play with him, bitch you better off voting for Donald Trump",http://genius.com/Kendrick-lamar-black-friday-lyrics
313,Donald Trump,One Name,Sheek Louch,positive,money,2005,"Big trips, Louis bags, welcome to the ice (bling) / Rock big enough to make Trump look twice",http://genius.com/Sheek-louch-one-name-lyrics
314,Donald Trump,Men of Respect,Sheek Louch,neutral,N/A,2007,"I'm getting sex from 9th and up, that's living it up / Not Donald Trump but what, buying pies for the class",http://genius.com/Kasino-men-of-respect-lyrics
315,Donald Trump,Ransom,Rich White Ladies,negative,N/A,2015,Tie Donald Trump to a stump take a bump with him and a drag,http://genius.com/Rich-white-ladies-ransom-lyrics
316,Donald Trump,Spend Some Cheese,Shyne,positive,money,2000,"Like Don Trump, Black Ted Turner, totin burners",http://genius.com/Shyne-spend-some-cheese-lyrics
317,Donald Trump,Bad Boyz,Shyne,positive,hotel,2000,What type of n---- stay in the Trump for weeks? (Bad Boyz),http://genius.com/Shyne-bad-boyz-lyrics
318,Donald Trump,Bonnie & Shyne,Shyne,neutral,hotel,2000,"Did it all, Four Seasons to the Trump",http://genius.com/Shyne-bonnie-and-shyne-lyrics
319,Donald Trump,Free Enterprise,Rick Ross,negative,political,2015,Assassinate Trump like I'm Zimmerman,http://genius.com/Rick-ross-free-enterprise-lyrics
320,Donald Trump,El Chapo,The Game,negative,personal,2015,Come through and knock Donald Trump out his toupee,http://genius.com/The-game-el-chapo-lyrics
321,Donald Trump,"Blase (Jeezy, Juicy J & Diddy Remix)",Ty Dolla $ign,negative,political,2015,I don�t fuck with Donald Trump he don�t like us,http://genius.com/Ty-dolla-sign-blase-jeezy-juicy-j-and-diddy-remix-lyrics
322,Donald Trump,Coke & Wet,Spank Rock,positive,money,2006,"That's Wall Street, Donald Trump, bass grilla stack",http://genius.com/Spank-rock-coke-and-wet-lyrics
323,Donald Trump,R.I.C.O. (Remix),Waka Flocka Flame,negative,political,2015,"And fuck Donald Trump, man / I'm sending you straight to Mexico to live in, motherfucker",http://genius.com/Waka-flocka-flame-rico-remix-lyrics
324,Donald Trump,Loco,Young Buck,negative,political,2015,And I'm fuck wat Donald Trump talk bout I like change when I met Rosetta,http://genius.com/Young-buck-loco-lyrics
325,Donald Trump,Big Tyme,Stretch,positive,money,2001,"I'm beyond that, livin' like Trump",http://genius.com/E-money-bags-big-time-lyrics
326,Donald Trump,Pussy,Strings,positive,money,2002,I'm sitting on some make em holla pussy / Bill Gates Donald Trump million dollar pussy,http://genius.com/Strings-pussy-lyrics
327,Donald Trump,Computers (Freestyle),Migos,neutral,hotel,2015,Smoking power at the Trump tower,http://genius.com/Migos-computers-freestyle-lyrics
328,Donald Trump,Trap Problems,Migos,neutral,The Apprentice,2015,"Feeling like Donald Trump, bitch you is fired",http://genius.com/Migos-trap-problems-lyrics
329,Donald Trump,Zion,Omen,neutral,N/A,2015,"No Donald Trump, Bill Gates or Bruce Wayne / The only thing I had to my name was a few dreams",http://genius.com/Omen-zion-lyrics
330,Donald Trump,MONEY LIKE MY OG,Swagg Porter & Star,positive,hotel,2012,"Now its 1st class Flights, Penthouse at the Trump for the Night",http://genius.com/Swagg-porter-and-star-money-like-my-og-lyrics
331,Donald Trump,I Think I'm Swipa,Swipa,positive,money,2013,Getting these dollars call me Swipa Trump,http://genius.com/Swipa-i-think-im-swipa-lyrics
332,Donald Trump,I Need Dollas,T.I.,positive,money,2012,Used to want dough like JC but now I'm thinking Donald Trump,http://genius.com/Ti-i-need-dollas-lyrics
333,Donald Trump,Buku,Robb Bank$,positive,hotel,2015,I'm with my Mexican bitch at the Trump,http://genius.com/Robb-bank-buku-lyrics
334,Donald Trump,Gratitude,Talib Kweli,positive,hotel,2015,Joey made this beat in the Trump Tower,http://genius.com/Talib-kweli-gratitude-lyrics
335,Donald Trump,Fired,Tech N9ne,neutral,The Apprentice,2015,Donald Trump! (Fire that bitch!),http://genius.com/Tech-n9ne-fired-lyrics
336,Donald Trump,Wet Dollars,Tink,positive,hotel,2015,Downtown livin' at the Trump,http://genius.com/Tink-wet-dollars-lyrics
337,Donald Trump,Purpose,Young Thug,neutral,N/A,2015,"No Donald, I'd Trump that bitch",http://genius.com/Young-thug-purpose-lyrics
338,Donald Trump,Datpiff (freeverse series Ep. 4),Chris Webby,neutral,N/A,2016,You'll never see it like Donald Trump on a prayer mat,http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics
339,Donald Trump,Driving Gloves,The Alchemist,positive,money,2015,"Pockets Trump like I just struck the lottery, lotto",http://genius.com/Gangrene-driving-gloves-lyrics
340,Donald Trump,Gucci Comin Home,BIA,neutral,N/A,2016,Man if Gucci comin' home then we don't need no Donald Trump,http://genius.com/Bia-gucci-comin-home-lyrics
341,Donald Trump,Pimps (Free Stylin at the Fortune 500 Club),The Coup,positive,money,1994,Trump Trump check out the cash in my trunk / I am Donald Trump me think you mighta heard about me,http://genius.com/The-coup-pimps-free-stylin-at-the-fortune-500-club-lyrics
342,Donald Trump,World War 6,Boosie Badazz,neutral,political,2016,"If Trump wins, he�s saying he�s building the wall to stop the dope",http://genius.com/Boosie-badazz-world-war-6-lyrics
343,Donald Trump,Pop Style (Remix),Devvon Terrell,neutral,personal,2016,You want official like Donald Trump hair,http://genius.com/Devvon-terrell-pop-style-remix-lyrics
344,Donald Trump,Slenderman,Germ,neutral,N/A,2016,"That gives no fuck, like Trump and such",http://genius.com/Uicideboy-x-germ-slenderman-lyrics
345,Donald Trump,Misconceptions 3,Jgivens,neutral,political,2016,They shocked to see us like Donald Trump up in a taqueria,http://genius.com/Lecrae-misconceptions-3-lyrics
346,Donald Trump,Lost a Fan,KXNG Crooked,neutral,money,2016,"She homeless and they don't give a fuck / Gentrification, they laughin' getting rich as Trump",http://genius.com/Statik-kxng-lost-a-fan-lyrics
347,Donald Trump,FLEM,A$AP Ferg,negative,political,2016,"Trump win, I'm flying off the soil",http://genius.com/A-ap-ferg-flem-lyrics
348,Donald Trump,Living the Life,The Notorious B.I.G.,positive,money,2005,"Twenty seven cars and a twelve bedroom house, Now they call me Snoopy Trump",http://genius.com/The-notorious-big-living-the-life-lyrics
349,Donald Trump,Thought U Lost It,Caskey,negative,political,2016,Our country-fucked if I'm assessin' the candidates / If Donald Trump wins maybe a man of space,http://genius.com/Caskey-thought-u-lost-it-lyrics
350,Donald Trump,I Need,Croosh,negative,political,2016,I want to buy Donald Trump and sell him to El Chapo,http://genius.com/Croosh-i-need-lyrics
351,Donald Trump,Bad Boy on Death Row,Dave East,negative,N/A,2016,"Donald Trump ain't safe on my block, gotcha your wifey at IHOP",http://genius.com/Dave-east-bad-boy-on-death-row-lyrics
352,Donald Trump,CIT4DT,Dooley,negative,political,2016,We got a chopper in the trunk for Donald Trump,http://genius.com/Dooley-cit4dt-lyrics
353,Donald Trump,Hard (Freestyle),"Royce Da 5'9""",positive,hotel,2016,I'm flyer than Mos Def in a Trump tower surrounded by four chefs,http://genius.com/Royce-da-59-hard-freestyle-lyrics
354,Donald Trump,High Seas (C+),Tom Hobbes,positive,money,2013,And I'm all about that real estate so Donald Trump I feel you,http://genius.com/Tom-hobbes-high-seas-c-lyrics
355,Donald Trump,Priceless,Tory Lanez,positive,money,2014,I'm countin' money like I'm Donald Trump,http://genius.com/Tory-lanez-priceless-lyrics
356,Donald Trump,Billionaire,Twista,positive,money,2009,Donald Trump makin big money go-getter,http://genius.com/Twista-billionaire-lyrics
357,Donald Trump,Which Is Cool,Royce da 5�۪9�۝,positive,hotel,2016,"Like Tommy Lee and Pam Anderson, I'm in the Trump Tower",http://genius.com/Royce-da-59-which-is-cool-lyrics
358,Donald Trump,My Speech (Queen's Speech Remix),Sik World,neutral,political,2016,Tryna battle me's dumb / Like a Mexican voting for Donald Trump,http://genius.com/Sik-world-my-speech-queens-speech-remix-lyrics
359,Donald Trump,Pocket Full of Stones,UGK,positive,N/A,1992,Fuck Black Caesar n----s call me Black Trump,http://genius.com/Ugk-pocket-full-of-stones-lyrics
360,Donald Trump,Nobody Speak,El-P,negative,personal,2016,Flame your crew quicker than Trump fucks his youngest,http://genius.com/Dj-shadow-nobody-speak-lyrics
361,Donald Trump,Look Me in My Eyes,Vado,positive,hotel,2014,"Having a bunch in the Plaza, top floor on the Trump",http://genius.com/Vado-look-me-in-my-eyes-lyrics
362,Donald Trump,Everything's a Go (Remix),Waka Flocka Flame,positive,money,2012,"Donald Trump bank account, you can call it that",http://genius.com/Waka-flocka-flame-everythings-a-go-remix-lyrics
363,Donald Trump,Wicked Freestyle,Jadakiss,negative,N/A,2016,Got the cuban sitting on the fuck Trump crewneck,http://genius.com/Fabolous-wicked-freestyle-lyrics
364,Donald Trump,Castle,Kevin Gates,negative,N/A,2016,I just told Donald Trump think about if you came from rubble,http://genius.com/Kevin-gates-castle-lyrics
365,Donald Trump,Cross 'Em Out and Put a 'K,Westside Connection,positive,money,1996,I smoke and make dough like Trump,http://genius.com/Westside-connection-cross-em-out-and-put-a-k-lyrics
366,Donald Trump,Muzzle Toe,Wu-Syndicate,positive,money,1999,"It's reg or not, pockets love Trump Donald",http://genius.com/Wu-syndicate-muzzle-toe-lyrics
367,Donald Trump,Red Drops,Limbz,negative,money,2016,My main problem with Trump is how he uses money as distortion / Shows that one man's cash can be everyone's misfortune,http://genius.com/Limbz-red-drops-lyrics
368,Donald Trump,No Smoke,Montana of 300,negative,N/A,2016,It's fuck all you n----s like Trump,http://genius.com/Montana-of-300-no-smoke-lyrics
369,Donald Trump,Out Here,The Weeknd,positive,hotel,2016,I'm out here in the Trump Tower,http://genius.com/The-weeknd-out-here-lyrics
370,Donald Trump,Come Again,Rockie Fresh,negative,political,2016,We fucking up if we let Trump in the office,http://genius.com/Rockie-fresh-come-again-lyrics
371,Donald Trump,Dope,T.I.,negative,N/A,2016,"Where I stay all they say is ���Fuck Trump�۝, all day",http://genius.com/Ti-dope-lyrics
372,Donald Trump,Come Down (Remix),T.I.,negative,political,2016,"I fantasize shooting Trump down, A shot for every black man who got gunned down",http://genius.com/Anderson-paak-come-down-remix-lyrics
373,Donald Trump,Miss U,Young Thug,positive,money,2013,Feel like Donald Trump,http://genius.com/Young-thug-miss-u-lyrics
374,Donald Trump,On the Way,Young Thug,positive,money,2014,Bitches got bumps and I'm rich just like Donald Trump,http://genius.com/Mpa-duke-on-the-way-lyrics
375,Donald Trump,Digest It,Tiara,negative,political,2016,"The world gon' end real soon, especially if Trump gets elected",http://genius.com/Royce-da-59-digest-it-lyrics
376,Donald Trump,Constantly Hating,Young Thug,positive,money,2015,I've seen more holes than a golf course on Donald Trumps course,http://genius.com/Young-thug-constantly-hating-lyrics
377,Donald Trump,FDT (Fuck Donald Trump),YG & Nipsey Hussle,negative,political,2016,Fuck Donald Trump,http://genius.com/Yg-and-nipsey-hu-le-fdt-fuck-donald-trump-lyrics
378,Donald Trump,It's Goin' Down,Yung Joc,positive,money,2006,Boys from the hood call me black Donald Trump,http://genius.com/Yung-joc-its-goin-down-lyrics